Name,Building Number,Street Address,Street Name,Street Suffix,City,Postcode,Country,Country Code,Job,Social Security Number,Currency,Bank,Bank IBAN,Bank SWIFT-Branch/Office,Bank SWIFT-11 digit,Credit Card Provider,Credit Card Number,CC Security Code,CC Expire,CC Full
Amy Campbell,8760,38675 Justin Rest,Smith Isle,Village,West Jennifer,16948,Slovakia (Slovak Republic),TV,Psychotherapist,675-34-5304,"('TJS', 'Tajikistani somoni')",GB,GB38ALHB57457056476509,RHKIGBA7,VBOVGBTIQN4,JCB 15 digit,6545746576929597,937,12/31,"Discover
Erica West
6527321608366564 09/27
CVC: 815
"
Tiffany Wright,1532,6728 Debra Trail,Samantha Shores,Port,Lake Jeanette,48029,Western Sahara,SY,Conference centre manager,107-87-2330,"('SVC', 'Salvadoran colón')",GB,GB36MOXM46105371779122,OUROGBDA,PFZLGBYK7QT,VISA 16 digit,6011526764695969,298,02/24,"Discover
Scott Fitzpatrick
6547244038889805 03/33
CVC: 702
"
Robert Rodgers,7975,66325 Rush Manor Apt. 191,Fleming Spring,Harbor,Lake Jennifer,53274,New Zealand,SR,Archaeologist,428-01-6676,"('LYD', 'Libyan dinar')",GB,GB37JYZF90752877041644,FOMDGBH5,JIYMGBJ1S2K,JCB 16 digit,6593402458570700,692,05/32,"Discover
David Moore
6582365762834778 06/32
CVC: 628
"
Steven Walls,987,79356 Joel Haven,Timothy View,Way,Thompsonfurt,94899,Christmas Island,BO,Tax inspector,340-40-8652,"('AZN', 'Azerbaijani manat')",GB,GB88FSRF13695595796821,OSDQGBM5,QEAYGBF0MDJ,Discover,6011246628300710,322,02/32,"Discover
Michelle Kelly
6011031915637861 08/26
CVC: 165
"
Jeffrey Ramirez DDS,7393,031 Fernandez Hollow,Christina Unions,Stream,North Jonathanland,76696,Angola,GD,Recruitment consultant,351-92-0189,"('KYD', 'Cayman Islands dollar')",GB,GB46SVFK39797744369882,FSKTGB4V,RCPSGB62UXW,Maestro,6517896431211063,349,07/27,"Discover
Meghan Lopez
6011215482995493 11/32
CVC: 905
"
Michele Alvarez,48913,62039 Carol Ramp,April Hills,Island,Adamstad,43984,Central African Republic,BJ,Quantity surveyor,338-11-0174,"('NZD', 'New Zealand dollar')",GB,GB63ZRJF99387726646547,RICJGB9H,DTQCGBLNXJV,American Express,6522995015375485,997,07/25,"Discover
Tyler Schmidt
6011433503641943 09/32
CVC: 808
"
Stephen Henderson,338,4783 Johnson Plains Suite 337,Jeffrey Isle,Islands,Susanborough,93053,Puerto Rico,QA,"Conservator, museum/gallery",808-31-5770,"('BIF', 'Burundian franc')",GB,GB76HLCZ05127557162596,IWOVGB4A,BDHRGBLG9Y3,Maestro,6011621996193063,288,06/31,"Discover
Beverly Chung
6567044218856987 10/27
CVC: 244
"
Stephanie Douglas,1812,583 Andrews Shore,Anthony Brook,Knoll,Hollandberg,38881,South Africa,GY,Air cabin crew,662-67-8058,"('CAD', 'Canadian dollar')",GB,GB06BVKI56168596393455,XOUDGBVH,RCNFGB5T3X3,VISA 19 digit,6501039309965969,768,07/33,"Discover
Carolyn Spencer
6011408307516244 11/26
CVC: 256
"
Christine Perez,62031,8144 Jimenez Heights,Jonathan Mount,Run,Daughertyburgh,34205,Austria,ZA,Oceanographer,420-51-4184,"('QAR', 'Qatari riyal')",GB,GB15JQMW93583496973541,WCZNGBL9,HKVPGBHO9JC,VISA 13 digit,6547860364135156,634,09/25,"Discover
Kristen Morales
6011641682190363 11/33
CVC: 511
"
Keith Ibarra,93834,7464 Eric Parks Suite 834,Kathryn Points,Cliffs,Pierceburgh,35965,Turkey,CR,Licensed conveyancer,403-08-6667,"('SAR', 'Saudi riyal')",GB,GB21UQNB58592416781442,SFECGBEE,HLFDGBHAJKM,VISA 16 digit,6566843042486940,415,02/30,"Discover
Kayla Bryan
6011551915273961 04/30
CVC: 448
"
Rebecca Walker,63238,634 Steven Squares Apt. 954,Rachel Key,Lodge,South Megan,06661,Croatia,MK,Fisheries officer,663-18-6578,"('KRW', 'South Korean won')",GB,GB40FHXW73309730312080,EJJPGB8K,TRCNGB34L0P,Mastercard,6522433774247604,653,07/33,"Discover
Michelle Pacheco
6548676353948154 05/25
CVC: 009
"
Sara Hernandez,6402,68879 Perez Prairie Apt. 133,Tammy Drives,Union,North Alexshire,52143,United States Virgin Islands,TW,"Copywriter, advertising",827-07-5584,"('DKK', 'Danish krone')",GB,GB91HATL25844935607559,IOQPGB45,RZOEGBL84DW,JCB 16 digit,6511496702456350,810,10/33,"Discover
Alan Brown
6011673454149624 04/25
CVC: 857
"
Amy Johnson,93331,0459 Bernard Circles Apt. 726,Pam Lock,Shores,Gutierrezview,15075,Yemen,MG,"Designer, blown glass/stained glass",150-52-7213,"('BTN', 'Bhutanese ngultrum')",GB,GB49SUHD94198421406007,OHMSGBWH,WPCTGBNW47D,American Express,6011060441546171,754,11/26,"Discover
John Myers
6011282375533005 03/25
CVC: 654
"
Gregory Nichols,91215,73197 Allen Station Apt. 422,Cox Wells,Bypass,South Christopherbury,15909,Micronesia,ML,"Surveyor, rural practice",368-39-2516,"('SDG', 'Sudanese pound')",GB,GB82EQAF11546845106980,THKHGB4X,SRNRGBMR75J,JCB 16 digit,6596468822650970,947,11/25,"Discover
Timothy Mills
6526364565935428 12/29
CVC: 035
"
Jordan Johnson,38669,4924 Dillon Park Apt. 741,Sharon Ville,Greens,Jeromeborough,11550,Slovenia,NG,"Engineer, land",612-61-1593,"('USD', 'United States dollar')",GB,GB69DBJA54735070891925,KOOTGBMZ,ENGMGBMFTN7,VISA 13 digit,6011316160443796,105,03/32,"Discover
Lisa Howard
6011254781144560 10/26
CVC: 226
"
Devon Montoya,142,488 Nancy Wall,Ryan Island,Walks,South Jonathanfort,97420,Albania,GE,Field seismologist,082-95-2291,"('CUP', 'Cuban peso')",GB,GB44MNHJ11983873938479,UIFNGBN7,ACKFGBSJ9XV,American Express,6581582426764073,849,06/32,"Discover
Frederick Yang
6599466737399631 03/33
CVC: 377
"
Brandi Byrd,871,155 Victoria Mission,Brown Harbors,Mission,Hicksmouth,77427,Mauritius,MD,Agricultural consultant,768-90-4678,"('BHD', 'Bahraini dinar')",GB,GB40FCQM93299434934928,JJXTGBBB,EZJCGB1HV1E,JCB 15 digit,6011840639030579,928,04/32,"Discover
Kevin Long
6563595378818822 09/26
CVC: 316
"
Angela Johnson,1428,7372 Coleman Islands,Pitts Mews,Points,South David,56967,Indonesia,TO,Diplomatic Services operational officer,365-47-9590,"('THB', 'Thai baht')",GB,GB22XRBN65645502285251,LLDWGBZ3,HEQOGBRTDZZ,JCB 16 digit,6011026143776580,703,03/32,"Discover
Susan Marsh
6011682708787618 11/29
CVC: 113
"
Madison Mason,2160,24402 Wells Ports,Lawrence Point,Valley,Port Nicoleborough,61653,Cocos (Keeling) Islands,ST,"Accountant, chartered public finance",435-16-8947,"('KRW', 'South Korean won')",GB,GB65LTJA10963826124028,CJDSGB1C,ETQHGBDR98F,JCB 16 digit,6011553590407724,109,12/29,"Discover
David Smith
6545212765818687 08/29
CVC: 483
"
Trevor Saunders,5188,903 Amy Trail,Carlos Parks,Cove,Port Cindy,04347,Northern Mariana Islands,RS,Equities trader,218-95-3327,"('DKK', 'Danish krone')",GB,GB84TCMH57268437677798,EGCSGBX0,LXTIGBA90UC,VISA 16 digit,6559883976281577,116,05/27,"Discover
Emily Frederick
6011882770730807 03/27
CVC: 395
"
Kimberly Rose,6074,7018 Santos Brook Suite 389,Elizabeth Cliffs,Creek,New Theresabury,41823,Djibouti,SV,"Restaurant manager, fast food",026-23-4739,"('FJD', 'Fijian dollar')",GB,GB95ADIL05721876208564,WNUGGBIT,NXNZGB2GTFX,JCB 16 digit,6543157202509252,083,06/32,"Discover
Andres Howell
6011223165591993 07/25
CVC: 347
"
Michael Hamilton,9614,620 Michael Isle Suite 104,David Brooks,Manors,Smithmouth,10863,Botswana,KM,Consulting civil engineer,891-26-5019,"('ILS', 'Israeli new shekel')",GB,GB50BHZW61226902234410,LKOAGBUC,ZIEQGBCS7DO,JCB 16 digit,6011460184628329,994,02/33,"Discover
Joy Gregory
6011479480002674 09/33
CVC: 811
"
Lauren Evans,74864,901 Wright Walks,Fuller Harbors,Falls,Johnsonfort,51209,Libyan Arab Jamahiriya,KH,"Designer, jewellery",156-70-6676,"('AZN', 'Azerbaijani manat')",GB,GB39WDLU15833319363437,GFOSGBTS,PLJBGB45724,Discover,6011999601977058,620,05/31,"Discover
Megan Jimenez
6011836710466484 09/30
CVC: 369
"
Aaron Ortiz,11903,5956 April Prairie,Reyes Shoals,Meadows,Franklinfort,11128,Tokelau,TW,Hospital pharmacist,796-22-7919,"('SEK', 'Swedish krona')",GB,GB57LNYB00280429281742,FVBZGBDA,HHNHGBHT4OQ,VISA 13 digit,6591385552887116,124,07/25,"Discover
Dawn Roberson
6011837127242567 01/33
CVC: 655
"
Randy Park,7834,442 Morris Via,Michelle Mall,Creek,North James,34042,Grenada,MZ,Meteorologist,549-86-7895,"('ALL', 'Albanian lek')",GB,GB35YLKB78657524638536,MRRAGB5H,BPYCGBWP55K,JCB 16 digit,6532249713511696,603,09/25,"Discover
Anthony Hill
6011764724628495 02/27
CVC: 113
"
Brendan Thomas,97987,8330 Michael Harbor Apt. 725,Nathan Meadow,Camp,New Diamond,74411,Singapore,IL,Music therapist,326-67-7695,"('GYD', 'Guyanese dollar')",GB,GB95EZIO80614381202142,RFYVGBIH,TWLGGB17BDZ,JCB 16 digit,6011924609252361,807,01/29,"Discover
Frederick Coleman
6588064307059108 05/33
CVC: 450
"
Daniel Moore,3947,65752 Perez Prairie Suite 350,Hall Lakes,Drives,Wilsonborough,14812,Tanzania,GD,Environmental education officer,726-42-1361,"('UGX', 'Ugandan shilling')",GB,GB08JSEB20912192311902,XGGNGBOZ,WNBNGBRHS8Z,American Express,6011492972087715,888,08/32,"Discover
Carrie Rogers
6011963961934406 04/25
CVC: 858
"
Angela Butler,061,9002 Susan Shoals Suite 322,Vang Lights,Plaza,Amberport,25533,Sudan,SA,Patent attorney,403-52-2090,"('AZN', 'Azerbaijani manat')",GB,GB76MXHU58003213600130,RJKHGB92,HPGLGB399K1,VISA 19 digit,6011606661309631,959,09/31,"Discover
Todd Long
6011413316232536 04/31
CVC: 789
"
Jessica Carson,491,9349 Rose Crossroad Apt. 233,Rodney Square,Meadow,South Christine,58021,Bangladesh,FM,Theme park manager,230-87-5516,"('LBP', 'Lebanese pound')",GB,GB89GLRJ99762870875288,MDVUGB2D,QIIRGB299LO,Discover,6011327946107480,039,02/24,"Discover
James Campbell
6011482423553373 09/33
CVC: 578
"
Matthew Snyder,290,381 Graves Circle Apt. 387,Harrell Harbors,Mountain,West Justinton,86938,South Georgia and the South Sandwich Islands,BY,Furniture designer,647-27-1158,"('PHP', 'Philippine peso')",GB,GB16AZHV61928758496176,ECXLGBWB,MJCXGBGKC0D,Mastercard,6011999556697040,815,06/27,"Discover
Douglas Miller
6513087967001060 02/32
CVC: 274
"
Kathryn Glenn,081,835 Gibson Loaf,Cody Valleys,Mission,Patrickmouth,36310,Nepal,TM,"Scientist, research (physical sciences)",870-23-0575,"('CAD', 'Canadian dollar')",GB,GB64IPGZ71012435725341,EJDFGBLU,MPIWGBCTTWR,JCB 16 digit,6011493622599414,051,01/28,"Discover
Steven Lopez
6011983810527839 12/30
CVC: 330
"
Sarah Miller,0532,06347 Margaret Squares,Watson Hollow,Greens,Jonesberg,35032,Solomon Islands,BA,"Librarian, public",111-83-6532,"('KPW', 'North Korean won')",GB,GB03ABXV97379873705315,OJYLGB46,KUUTGBXZ7MQ,Mastercard,6011727894855081,732,09/33,"Discover
Jason Scott
6011026150478773 09/33
CVC: 547
"
Nathan Wells,0824,87290 Miles Parks,Patrick Cliffs,Trafficway,Kathleenstad,02873,Finland,HN,Secondary school teacher,564-81-3874,"('NZD', 'New Zealand dollar')",GB,GB62OBON31286705226040,WPUNGBSC,TYBZGB9UDZC,Maestro,6589060118348457,589,02/32,"Discover
Nicole Bell
6011791875795963 12/25
CVC: 002
"
Donna Quinn,4461,1301 Wells Roads,Dana Burg,Ramp,Robertsstad,28369,Gibraltar,RO,Psychotherapist,487-41-5833,"('AED', 'United Arab Emirates dirham')",GB,GB15TMUS85275453080876,DJLUGBXS,RVBDGBI3K5C,Discover,6501145016866315,418,12/28,"Discover
James Rivas
6011889644260572 05/33
CVC: 255
"
David Maldonado,4709,7826 Wall Via,Anderson Lake,Expressway,Jenniferview,27237,France,KZ,"Engineer, drilling",293-87-1402,"('VND', 'Vietnamese đồng')",GB,GB38TWBT10160830427281,PRXBGB8P,XOTPGB9N8UP,VISA 16 digit,6525926135863214,791,03/29,"Discover
Gregory Mcmillan
6550275370178948 09/25
CVC: 592
"
Susan Sims,03733,9517 Baker Fork,Garcia Freeway,Parks,Riveraview,64170,San Marino,JM,Equities trader,727-39-1203,"('GNF', 'Guinean franc')",GB,GB92JWIN51003335505268,HJPJGBGR,TMDWGBWVP94,VISA 19 digit,6011850526733508,302,10/26,"Discover
Jacqueline Ramirez
6529496805475828 05/26
CVC: 325
"
Richard Mcdowell,82215,231 David Plaza Suite 918,Grant Divide,Centers,Port Michael,23646,Vanuatu,BJ,Quantity surveyor,063-44-4985,"('BRL', 'Brazilian real')",GB,GB96PIKB37364019134583,COSFGBX1,QOGCGBUIXPT,American Express,6541375830042239,738,04/28,"Discover
Robert Ibarra
6524533352860385 11/24
CVC: 716
"
Heather Garcia,21656,560 Eric Dam,Jerry Knolls,Ridges,Jasonfort,74966,North Macedonia,AZ,Sales promotion account executive,555-82-7965,"('BTN', 'Bhutanese ngultrum')",GB,GB17WJGZ99751691402425,OEUZGB1S,EHGIGBHMS0M,Mastercard,6011650908127232,610,12/31,"Discover
Margaret Byrd
6011399079629648 06/28
CVC: 597
"
Stephanie Moore,2499,6838 Torres Terrace Suite 095,Michael River,Meadows,Lake Colin,94336,Brazil,SA,Bookseller,279-90-5095,"('MWK', 'Malawian kwacha')",GB,GB41VRPF57939841867844,FOEWGBMR,PBCJGB771PC,JCB 15 digit,6011822531691005,018,10/32,"Discover
Tiffany Rodriguez
6583974612994788 12/27
CVC: 789
"
Billy Fisher,584,8658 Williams Greens Suite 219,Stein Estates,Inlet,Kimberlyberg,71945,Brunei Darussalam,DZ,Secretary/administrator,419-32-6290,"('NOK', 'Norwegian krone')",GB,GB43OYSO22921029669771,YRCRGBMH,JONAGB60MPT,JCB 16 digit,6011037639116801,344,04/25,"Discover
Tammy Perez
6011070930150534 07/28
CVC: 665
"
Glen Norris,59886,4607 Alexis Common,Kristin Radial,Plaza,Wrightland,56055,Grenada,SE,Surgeon,220-84-3192,"('CVE', 'Cape Verdean escudo')",GB,GB94QPZK91998115609001,MOYEGB4Z,TVVWGBNGQHU,VISA 19 digit,6590527905011990,822,04/26,"Discover
Randy Patton
6011505586499461 07/27
CVC: 400
"
Joseph Peterson,977,518 Robert Rapids Apt. 018,Morris Key,Circles,Gatesside,48948,Suriname,IR,Newspaper journalist,511-96-7445,"('MZN', 'Mozambican metical')",GB,GB45GSLF28824548439589,LYKHGB3Q,GUNAGBOK55I,VISA 16 digit,6011169526565350,880,08/27,"Discover
Caleb Jackson
6582170681597708 03/29
CVC: 046
"
Michele Green,0469,498 Miller Square Suite 012,Clark Ferry,Canyon,West Kylemouth,32173,Samoa,MH,"Research officer, political party",606-87-8389,"('AFN', 'Afghan afghani')",GB,GB74NHTG18407037296741,PCUCGBSI,WJIDGB2PRL6,American Express,6011683428067794,875,07/31,"Discover
David Perez
6504085517019682 01/24
CVC: 891
"
Katrina Brock MD,55281,414 Karen Rapids,Barrett Station,Ports,Lake Alexandermouth,49122,North Macedonia,MN,Child psychotherapist,304-12-0139,"('BSD', 'Bahamian dollar')",GB,GB72UJQW43258171725916,PEWAGB6I,CFOLGBTNOG3,JCB 16 digit,6011869871797249,929,06/27,"Discover
Blake Medina
6548111990569619 11/33
CVC: 490
"
Robert Smith,745,3682 Robin Isle Apt. 318,Hammond Rest,Plaza,Spencerstad,03067,Bosnia and Herzegovina,KN,Homeopath,896-31-7293,"('CVE', 'Cape Verdean escudo')",GB,GB72TYPG28328194143447,ILVZGB8I,GSELGBULI2F,VISA 19 digit,6011244521967057,109,11/29,"Discover
Felicia Simmons
6011071734096394 11/31
CVC: 524
"
Carl Montgomery,48848,7477 Sanchez Rapid,Eric Canyon,Glen,Howardberg,94638,Puerto Rico,GR,Forest/woodland manager,730-16-4315,"('GEL', 'Georgian lari')",GB,GB61HMTI19085980383761,FVJZGBVC,XJCQGBD5N4E,JCB 15 digit,6011672394561468,288,03/25,"Discover
Carl White
6011191708541082 10/27
CVC: 314
"
Colton Taylor,953,462 Booker Pike,Garcia Harbor,Heights,North Joshua,26495,Bahamas,TT,Multimedia programmer,122-42-9854,"('NGN', 'Nigerian naira')",GB,GB04JDBW02456451510943,QRYHGB6W,ORDKGBQQ505,JCB 15 digit,6011353275757596,604,01/30,"Discover
Chris Horton
6591495073380580 05/32
CVC: 862
"
Benjamin Johnson,62965,0042 West Knoll,Reyes Freeway,Summit,West Amyport,23368,Saint Vincent and the Grenadines,ZA,"Education officer, environmental",597-48-2250,"('LTL', 'Lithuanian litas')",GB,GB11FDWD81125271014795,NVOXGBF7,BVOXGB4A0EQ,Discover,6551311987259182,081,09/29,"Discover
David Frazier
6011791931162943 02/33
CVC: 155
"
Mary Peterson,34266,687 Espinoza Ridges Apt. 351,Fields Tunnel,Islands,West Peter,27835,Madagascar,PH,Forensic psychologist,814-75-6204,"('GTQ', 'Guatemalan quetzal')",GB,GB55WEOH82224364958988,DCMFGBQQ,HTLEGBZRGBD,JCB 16 digit,6509605812503232,617,09/32,"Discover
Olivia Grant
6577361700012566 02/29
CVC: 090
"
Amanda Scott,886,4809 Davis Hollow Suite 210,Janet Burg,Islands,Maryborough,92445,Moldova,CN,Medical physicist,458-87-5713,"('TJS', 'Tajikistani somoni')",GB,GB66FHOT97411381747376,EYGPGBCR,GYULGBKBWY7,VISA 16 digit,6599223787650391,722,05/30,"Discover
Elizabeth Banks
6011656993190324 11/32
CVC: 704
"
Brandi Brock DDS,481,1410 Key Square Apt. 491,Thomas Throughway,Squares,South Sharon,84181,United Kingdom,IS,Planning and development surveyor,438-66-3531,"('KHR', 'Cambodian riel')",GB,GB84UHQQ08018782128006,AVTTGB2J,HKUFGBQ6SCX,VISA 19 digit,6555628863220079,527,04/27,"Discover
Maria Fitzpatrick
6011718116919946 12/33
CVC: 986
"
David Gomez,60478,33400 Lee Passage Apt. 675,Hunt Isle,Shoals,North Matthewbury,14703,Dominican Republic,TT,Operational researcher,414-13-5213,"('GEL', 'Georgian lari')",GB,GB87OTDA40800015710675,WRZZGBYQ,GYMKGBD16CU,VISA 16 digit,6598122874977082,347,04/28,"Discover
Victoria Nelson
6011448439383030 07/31
CVC: 422
"
Dennis Hanson,00155,192 Smith Club,Riggs Gateway,Mall,East Catherineton,23973,Uruguay,YE,"Engineer, mining",057-34-1898,"('MUR', 'Mauritian rupee')",GB,GB94VKPL71634042205470,JJDFGB3F,HEIGGB23OA7,VISA 13 digit,6552010708676182,078,11/24,"Discover
Anna Ryan
6011759688130611 03/27
CVC: 865
"
Ashley Preston,6499,266 Michael Bypass Suite 992,Jeffrey Estate,Crescent,Lindseyfurt,41139,Finland,MY,"Engineer, technical sales",859-29-3710,"('GTQ', 'Guatemalan quetzal')",GB,GB81KDRI91996404477217,TJJRGB3Q,NWLAGBUUYI6,VISA 16 digit,6598381259060068,735,02/32,"Discover
Gary Flores
6506124059279780 05/26
CVC: 973
"
David Prince,82876,8297 Taylor Lodge Suite 379,Dustin Way,Isle,Justinfort,40129,Congo,DE,Data processing manager,444-40-4195,"('CHF', 'Swiss franc')",GB,GB95HXDT62371050305314,XJOKGBJV,UVXMGBM2UC3,VISA 16 digit,6011158889003471,195,06/26,"Discover
Alexandria Munoz
6584592230043470 04/32
CVC: 560
"
Jeffery Hill,012,37384 Abigail Manor Suite 497,Hayley Coves,Orchard,Laurieview,45545,Hong Kong,GD,"Pharmacist, community",339-64-0772,"('UYU', 'Uruguayan peso')",GB,GB79NGSD93085403848632,GQONGBYS,KBKPGBO4TU6,JCB 16 digit,6011007370994112,613,10/29,"Discover
Michael Mcknight
6502160566515591 07/28
CVC: 544
"
Heather Marquez,1974,8460 Garcia Shores,Jones Roads,Meadows,Port Karen,26665,South Georgia and the South Sandwich Islands,SL,Tourist information centre manager,806-12-9284,"('MKD', 'Macedonian denar')",GB,GB05RSZS49762592955411,LRSRGBPU,JLIWGBA8HIS,JCB 15 digit,6011714541774857,975,09/26,"Discover
Bryan Carlson
6011168047526800 12/32
CVC: 591
"
Steven Diaz,312,484 Nicole Locks,Hernandez Highway,Landing,Fowlerborough,93322,Grenada,CG,"Administrator, arts",276-66-6230,"('SEK', 'Swedish krona')",GB,GB76VFDC04134537178555,WEFYGBJP,TRZMGBAQ9TO,Maestro,6547955190600421,952,04/26,"Discover
Robert Frank
6011416028747378 02/25
CVC: 380
"
Lauren Hanson,2444,76063 Nicholas Stravenue,Mcclain Spur,Plaza,Port Julieside,01654,French Guiana,TR,Air traffic controller,640-94-8118,"('DKK', 'Danish krone')",GB,GB97RFQU40777964594411,WSEAGB23,WFTLGB9J6AP,JCB 15 digit,6525909528752319,822,02/26,"Discover
Ryan Ruiz
6011420743917613 03/29
CVC: 401
"
